id,book,alignments,ch_match
EShia0027411,0363QadiNucman.Idah,43,7044
EShia0071536,0363QadiNucman.TawilDacaim,48,8966
Filaha003,1127KhayrDinIbnIlyas.FalahFallah,1,124
Hindawi95926405Vols,0375IkhwanSafa.Rasail,1,126
JK000001,0505Ghazali.IhyaCulumDin,10,1934
JK000019,0281IbnAbiDunya.Warac,1,73
JK000021,0458Bayhaqi.ShucabIman,15,2719
JK000022,0430AbuNucaymIsbahani.HilyatAwliya,9,2571
JK000024,0458Bayhaqi.FadailAwqat,1,123
JK000030,0581IbnKharratIshbili.CaqibaFiDhikrMawt,2,333
JK000055,0181IbnMubarak.Zuhd,1,137
JK000098,1327AhmadIbrahimCisa.TawdihMaqasid,1,146
JK000099,0751IbnQayyimJawziyya.Salat,1,208
JK000110,0256Bukhari.Sahih,15,2657
JK000130,0303Nasai.SunanSughra,6,912
JK000170,1252IbnCabidinDimashqi.RaddMuhtar,5,741
JK000196,1118CabdHamidShirwani.Hawashi,3,635
JK000201,1353IbnCabdRahimMubarakfuri.TuhfatAhwadhi,29,5312
JK000208,1221IbnMuhammadBujayrimiMisri.TajridLiNafcCabid,1,115
JK000216,1120IbnMuhammadBurhanDinDimashqi.BayanWaTacrif,6,777
JK000221,0597IbnJawzi.TahqiqFiAhadithKhilaf,10,1829
JK000244,0507AbuBakrShashi.HilyatCulama,3,295
JK000271,0804IbnMulaqqin.TuhfatMuhtaj,10,1721
JK000272,0476AbuIshaqShirazi.MuhadhdhabFiFiqh,9,1185
JK000287,0620IbnQudamaMaqdisi.CumdatFiqh,2,260
JK000291,0977KhatibShirbini.Iqnac,2,285
JK000299,0861IbnHumam.SharhFathQadir,11,1565
JK000303,0476AbuIshaqShirazi.TanbihFiFiqhShafici,1,139
JK000314,0458Bayhaqi.IthbatCadhabQabr,2,449
JK000343,0456IbnHazm.FisalFiMilal,1,138
JK000362,0728IbnTaymiyya.DarTacarud,1,218
JK000384,0395IbnMandahMuhammad.Iman,1,184
JK000386,0728IbnTaymiyya.SharhCumdatFiqh,3,477
JK000428,0334IbnHusaynKhiraqi.MukhtasarMinMasailIbnHanbal,1,128
JK000458,0982IbnMuhammadAbuSucud.IrshadCaqlSalim,4,731
JK000462,0468IbnAhmadWahidiNaysaburi.WajizFiTafsir,1,123
JK000475,0303Nasai.SunanKubra,5,703
JK000477,0385Daraqutni.Sunan,11,2073
JK000481,0287IbnAbiCasim.AhadWaMathani,2,670
JK000529,0385Daraqutni.SualatHamza,1,120
JK000653,0307IbnHarunRuyani.Musnad,1,168
JK000674,1014MullaCaliQari.MawducatSughra,2,271
JK000676,1307Qannawji.AbjadCulum,1,310
JK000677,0204Shafici.SunanMathura,1,256
